Basque (eu),Spanish (es)
"Apirilaren 11n egingo dira bilerak, eta IHK Mannheim-Mannheimeko Merkataritza Ganberak antolatu ditu, Enterprise Europe Network-en laguntzarekin, eta honako sektoreetako ordezkari eta erosle handizkariekin harremanetan jartzeko aukera eskainiko die merkatu alemaniarrean sartzeko interesa duten enpresa arabarrei: ingeniaritza eta erremintak, automobilgintza eta industria-hornikuntza, plastikoen eta metalen prozesatuak, eraikuntza eta ekipoak, kontrolerako eta meteorologia teknologia, elektronika, industria kimikoa, mediku-ekipamendua, ingurumen eta nekazaritzako elikagaien teknologiak eta edariak.","Estos Encuentros, que tendrán lugar el próximo 11 de Abril, están organizados por la IHK Mannheim-Cámara de Comercio de compradores mayoristas de los siguientes sectores: Ingeniería y herramientas, Automoción y suministro industrial, Procesado de plásticos y metales, Construcción y equipos, Tecnología de Control y Metrología, Electrónica, Industria química, Equipamiento médico, Tecnologías del Medio Ambiente y Agroalimentario y bebidas."
4.0 industriarako konponbide teknologikoetan espezializatutako ingeniaritza,Ingeniería especializada en soluciones tecnológicas para la industria 4.0
"Bilbo eta Bizkaiko eraldaketa eta espiritu ekintzailea, hauen nazioarteko dimentsioa barne, eraikuntzako sektore estrategikoarekin lotzea proposatzen dugu, sektore honetako Bizkaiko zerbitzu profesionalen inguruko enpresa-ehunaren (arkitektura-bulegoak, teknologia-zentroak, ingeniaritza-enpresak, eraikuntzako materialen enpresak, etab.) kalitate gorena aldarrikatuz.","Proponemos asociar la transformación y el espíritu emprendedor de Bilbao y Bizkaia, así como su dimensión internacional, con el sector estratégico de la construcción, y mostrar la altísima calidad del tejido empresarial de servicios profesionales vizcaínos del sector (oficinas de arquitectura, centros tecnológicos, ingenierías, empresas de materiales de construcción, etc.)."
"Talde espezifikoa du Ingurumenarekin gai erlazionatuetarako, Analisi-Sistemetako eta Kontrol-Sistemetako, Sorkuntzako eta Energia-Aurrezpeneko Konfigurazioko Ingeniaritzarekin.","Cuenta con un equipo específico para temas relacionados con el Medio Ambiente, la Ingeniería de Sistemas de Análisis y Configuración de Sistemas de Control, Generación y Ahorro de Energía."
"Hala, bada, hainbat gai aztertuko dira bi egunez: mantentze-zerbitzuen hobekuntzaren eragina, IKTek mantentze-lanetarako eskaintzen dituzten baliabide berriak, mantentze-sistema adimendunak, fidagarritasuna lortzeko ikuspuntu integratu berriak eta ekoizpen lehiakorra lortzeko mantentze-ingeniaritza, besteak beste.","A lo largo de dos días se abordarán temas como el Impacto de la mejora de los servicios de mantenimiento, las nuevas herramientas de las TIC para el mantenimiento, los sistemas inteligentes de mantenimiento, nuevos enfoques integrados para la fiabilidad y la ingeniería de mantenimiento con vistas a una producción competitiva."
"Hurrengo menderaarte bizirauteko aukeren erdiak nahi baldin baditugu, ezinbestekoa da gizartearen segmentu guztiek –industrialek, ingeniaritzakoek, zientifikoek, politikoek, nekazaritzakoek edota arrantzaren arlokoek– zientzia, gizartea eta iraunkortasuna gizadiak inoiz izan dituen erronka arriskutsuenak direla onartzea.","Si queremos tener un 50% de probabilidad de sobrevivir hasta el próximo siglo, tenemos que conseguir que todos los segmentos de la sociedad, desde los industriales, ingenieros y científicos a los políticos, agricultores y pescadores, reconozcan que éstas son las cuestiones más graves con las que se ha enfrentado la humanidad."
"Aurkezpena Izena berria dela kontuan hartuta, Ingeniaritza Fisikotzat zer ulertzen den zehaztu beharko litzateke.","Exclusivo Presentación Dado lo novedoso de la denominación, parece necesario establecer qué se entiende por Ingeniería Física."
"Datorren urriaren 19an, ostiralean, atsaldeko 18:00etan, Txandakako IMH Ingeniaritzako kurtso berriaren inaugurazio ofiziala egingo da Elgoibarko Makina Erremintaren Institutuko Areto Nagusian.","El próximo 19 de octubre viernes, a las 18:00 de la tarde se llevará a cabo el acto de inauguración del nuevo curso 07-08 de la Ingeniería IMH en Alternancia en la Sala de Conferencias del Instituto de Máquina-Herramienta de Elgoibar."
Ingeniaritzak Caucesa Ingeniería y Arqu...,Ingenierías Indatec Ingeniería en Ali...
"Behar dugun guztietan, doitasun-maila goreneko ingeniaritza-zerbitzuak eta 3Dko software-tresna aurreratuenak ditugu eskura.",Siempre que sea necesario disponemos del servicio de ingeniería con los más altos niveles de precisión y las más avanzadas herramientas en software 3D.
Ingeniaritza Dualeko ordezkariak WACE kongresuan izan dira — IMH English,La Ingeniería Dual asiste al Congreso WACE — IMH English Euskara
Eraikuntzaren Ingeniaritza Masterra Menua Webgunearen menua ireki/itxi,Máster en Ingeniería de la Construcción Menú Abrir/cerrar menú del sitio
"Selektibitatea gainditu zutenen artean, hauek izan ziren titulazio ohikoenak mutilen artean: Enpresen Administrazio eta Zuzendaritzako gradua, Ingeniaritza Mekanikoa, Lehen Hezkuntza, Industria Teknologiaren Ingeniaritza eta Jarduera Fisikoaren eta Kirolaren Zientziak. Bestetik, neskek Enpresen Administrazio eta Zuzendaritza, Medikuntza, Lehen Hezkuntza, Erizaintza eta Haur Hezkuntzaren alde egin zuten.","De los aprobados en selectividad, las titulaciones más frecuentemente elegidas por los chicos fueron Administración y dirección de empresas, Ingeniería mecánica, Educación primaria, Ingeniería en tecnología industrial y Ciencias de la actividad física y deporte; en cambio, las chicas se inclinaron por Administración y dirección de empresas, Medicina, Educación primaria, Enfermería y Educación infantil."
"Gutun-trukea, Espainiako Erresumaren eta Energia Atomikoaren Nazioarteko Agentziaren artekoa (EANA), giza faktoreen ingeniaritzaren tresneriarekin eta kontrolarekin zerikusia duten alderdiei buruzko bilera teknikoa egiteko, Vienan egina 2018ko otsailaren 22an eta apirilaren 17an.","Otros formatos Acuerdos internacionales Canje de cartas entre el Reino de España y el Organismo Internacional de Energía Atómica (OIEA) para la celebración de la Reunión Técnica sobre aspectos de instrumentación y control de la ingeniería de factores humanos, hecho en Viena el 22 de febrero y el 17 de abril de 2018."
"Kategoria:Ingeniaritza hidraulikoa - Wikipedia, entziklopedia askea.","Categoría:Ingeniería hidráulica - Wikipedia, la enciclopedia libre"
Hasiera Albisteak IMHren Ingeniaritza Dualak praktikak antolatu ditu gazte alemaniarrentzat,Inicio Noticias La Ingeniería Dual del IMH organiza prácticas de jóvenes alemanes
"Unibertsitate-espedientearen batez besteko kalifikazioa, graduko unibertsitate-tituluaren jabetza egiaztatuko denean, urriaren 29ko 1393/2007 errege-dekretuaren 5.2 artikuluan ezarritakoarekin bat etorrita kalkulatuko da. Unibertsitate-espedientearen batez besteko kalifikazioa, unibertsitate-diplomatura, arkitektura tekniko, ingeniaritza tekniko, lizentziatura, arkitektura edo ingeniaritzako unibertsitate-titulu ofizialaren jabetza egiaztatzen denean, Unibertsitate- Koordinaziorako Kontseiluaren 2004.eko urriaren 25eko erabakian egokitzapenaren arloan ezarritako irizpide orokorrekin bat etorrita kalkulatuko da.","La nota media del expediente universitario, cuando se acredite estar en posesión de un título universitario de Graduado o Graduada, se calculará de acuerdo con lo establecido en el artículo 5.2 del Real Decreto 1393/2007, de 29 de será calculada conforme a los criterios generales en materia de adaptación establecidos en el Acuerdo de 25 de octubre de 2004 del Consejo de Coordinación Universitaria."
"Itsasoko sektoreko profesionalen lana saritu zen ekitaldian, zazpi estatuatxoren bitartez: itsasontzi nabarmendua, ontziola nabarmendua, armadore nabarmendua, itsas ingeniaritzako proiektu nabarmendua, erakunde nabarmendua, profesional nabarmendua eta ibilbide profesionalari eskainitako saria.","Estos galardones astillero destacado, armador destacado, proyecto de ingeniería marítimo destacado, institución destacada, profesional destacado y premio a la trayectoria profesional."
Eraikuntzaren Ingeniaritza Masterra - UPV/EHU,Máster en Ingeniería de la Construcción - UPV/EHU
"Robotikak hainbat gai konbinatzen ditu, hala nola mekanika, elektronika, informatika, adimen artifiziala eta kontrol ingeniaritza.","La Robótica combina distintos ámbitos como la mecánica, la electrónica, la informática, la inteligencia artificial y la ingeniería de control."
MIKEL AGIRREGABIRIA Fisika teorialaria; Ingeniaritza Industrialean eta Informatikan ikasketa aurreratuak ditu eta masterra du Museolaritzan....,"Es un físico teórico, con estudios avanzados de Ingeniería Industrial e Informática, así como experto y máster en..."
"Ingeniaritza gizonezkoen jardueratzat hartzen den arren, historiari begiratuz gero agerian geratzen dira emakumeek egindako ekarpen asko.","suele pensar que la ingeniería es masculina, leyendo la historia con otras lentes encontramos abundantes aportaciones femeninas."
"Graduondokoen Latinoamerikako Sarea handitzea, Zientziak, Ingeniaritza eta Arkitektura eta Osasun Zientziak haren barruan sartuta.","Ampliar la Red Latinoamericana de Posgrado incluyendo, además, las ramas de Ciencias, Ingeniería y formación continua en dicha lengua."
"»Antolaketaren aldaketaren muina, kudeatzeko eredu berri bat ezartzea izan zen: reingeniaritza edo BPRa.",»El núcleo de la transformación organizativa fue la implantación de un nuevo concepto de gestión: la reingeniería o BPR.
"Unibertsitateko ikasleen komunitatean ere badaude elkarte solidarioak eta boluntariotzak, hala nola Rumble aldizkaria eta Mugarik Gabeko Ingeniaritza elkartea.","En la comunidad de estudiantes de la universidad también existen asociaciones voluntariado, como es el caso de la revista Rumble y la asociación Ingeniería Sin Fronteras."
"Aukera ezberdinak izango dituzte parte hartu ahal izateko: talde antolatzailearen partaide gisa jardueren koordinazioan eta heziketa saioetan parte hartuz, halaber, Emakumearen Energia eta Ingeniaritza programaren bidez aholkulari gisa aritu daiteke eta, azkenik, beren ibilbide profesionala bultzatu nahi dutenak “aholkatuak” izan daitezke.","Para participar existen distintas opciones: formar parte del equipo organizador y colaborar en la coordinación de actividades y sesiones de formación, también es posible ser mentora a través del programa para Energía de Mujer e Ingeniería y, por último, aquellos que quieran impulsar su carrera profesional pueden ser 'mentorizados’."
"Esaterako, urte honetan zehar, eta iaz martxan jarritako LAGUNDEX egitasmoaren bitartez, 3 eta 50 langile bitarteko 80 enpresekin egin da lana, eta 105 nazioarteko eskaintza aurkeztu dira 35 herrialdetan, osasuna, elikadura, energia, komunikazio eta informazio teknologia berriak, ingeniaritza, makina erreminta, mekanizatua edota galdaragintza bezalako sektoreetan.","Por ejemplo, a lo largo de este año, a través del programa LAGUNDEX, puesto en marcha el año pasado, se ha trabajado con 80 empresas de entre 3 y 50 trabajadores y se han presentado 105 ofertas internacionales dirigidas a un total de 35 países, en sectores como salud, alimentación, energía, tics, ingeniería, máquina herramienta, mecanizado y calderería."
"Astéria Performance enpresa teknologiko eta berritzailea da, Quebecen du egoitza, eta automoziorako Ingeniaritza Aurreratuan dihardu.","Astéria Performance, es una empresa tecnológica e innovadora, con sede en Quebec, dedicada a la Ingeniería Avanzada de automoción."
"Datorren astelehenean, martxoaren 6an, Bilboko Ingeniaritza Eskolako Biblioteka berria zabalduko da, Ingenieritza Goi Eskolako eta Ingenieritza Teknikoko Eskoletako Bibliotekak bateratu ondoren sortua.","El próximo lunes, día 6 de marzo, se inaugura la nueva Biblioteca de la Escuela de Ingeniería de Bilbao, fruto de la unificación de las antiguas bibliotecas de […]"
"Igande goizean Elgoibarko kaleak zeharkatu zituzten 647 korrilakariek, IMHk eta Txandakako Ingeniaritzak babestutako kamiseta gorriak jantzita.",Las calles de Elgoibar se llenaron durante la mañana de ayer con las camisetas rojas patrocinadas por el IMH y la Ingeniería en Alternancia que vestían los 647 corredores participantes en el cross.
Bilboko Ingeniaritza G.E.T.(2013ko otsailaren 8an) Dokumentuak:,E.T.S. de Ingeniería de Bilbao (8 de febrero de 2013)
Buildtonet: sustatzaileak arkitektura- eta ingeniaritza-estudioekin harremanetan jartzen dituen webgunea .,• Builtonet: Sitio web que pone en contacto promotores con los estudios de arquitectura e ingeniería .
"Lehiaketa honetako helburu nagusia Ingeniaritzako ikasle hauek lortutako ezagutza mono plaza baten diseinu, garapen, eraikuntza eta gidaritzan erabiltzea da.","El principal objetivo de esta competición es incentivar los conocimientos adquiridos a estudiantes de Ingeniería, quienes compiten en diseño, desarrollo, construcción y conducción de un monoplaza de competición."
"Altzairuzko egituran, ingeniaritzako eraikuntzan eta ontzien eraikuntzan altzairu epelak mozteko. 1.","Para el corte de acero dulce en estructuras de acero, construcción de ingeniería y construcción de barcos."
"5,44 2502398 Ingeniaritza Kimikoa","5,44 2502398 Grado en Ingeniería Química"
CEIT-IK4ko ingeniaritza biomedikorako taldea minbiziaren aurkako ikerkuntza proiektuak gauzatzen ari da,El equipo de ingeniería biomédica de CEIT-IK4 desarrolla proyectos de investigación contra el cáncer
Adierazpen Grafikoa eta Ingeniaritzako Proiektuak Saila Profilak Ikasketak,Departamento de Expresión Gráfica y Proyectos de Ingeniería Perfiles Estudios
"Makina oso erabilia da fabrikazio-industrian, hala nola automobiletan, ontzigintzan, ingeniaritza-makinetan, industria petrokimikoan eta presio-ontzietan, etab.","La máquina se aplica ampliamente al corte de planchas de la industria manufacturera, como automóviles, construcción naval, maquinaria de ingeniería, industria petroquímica y recipientes a presión, etc."
Ingeniaritza departamentuko arduraduna,Responsable del departamento de ingeniería
Ingeniaritza Mekanikako Saila,Departamento de Ingeniería Mecánica
"Ondoren, Ingeniaritzako ikasketak egin zituen Estatu Batuetako Jesusen Lagundiko San Luis Unibertsitatean. Teologikoak, bere aldetik, Alemaniako Menoko Frankfurten.","Más tarde cursó estudios de ingeniería en la universidad jesuita de San Luis, en los Estados Unidos y teología en Fráncfort del Meno en Alemania."
Gainazalen ingeniaritza,Ingeniería de superficies
"Barneko lan handia egin da, kexa prozesuak aztertu eta berringeniaritza lanak egin dira eta herritarrek aurkeztutako kexekiko lanerako prozesurik eraginkorrena aukeratu da; ondorioz, abenduaren amaieran aplikazio informatiko berri bat ezarri da kexen izapidea egiteko, web inguruan eta Arartekoaren gainerako kudeaketa aplikazioei konektatuta edota aplikazio horietan integratuta.","Tras un intenso trabajo interno de reingeniería y revisión del proceso de queja en el que se ha optado por el proceso de trabajo más eficiente en relación con las quejas presentadas por la ciudadanía, se ha implantado a finales de diciembre una nueva aplicación informática como soporte para su tramitación, en un entorno web y conectada y/o integrada con el resto de aplicaciones de gestión del Ararteko."
"Ingeniaritza mekanikoa bitarteko sektorea da batez ere, bere produktuak bestelako sektore industrialen produkzio-katean erabiltzen diren neurrian.","La ingeniería mecánica es fundamentalmente un sector intermedio, en la medida en que sus productos se utilizan en la cadena productiva de otros sectores industriales."
