Basque (eu),Spanish (es),Spanish_Translation
"Biek ala biek urteetako esperientzia zuten sektorean, eta indarrak batzea erabaki zuten. Horrela ekin zioten ingeniaritza-enpresari, Segurtasunaren sektorean.","Tras años de experiencia en el sector, decidieron unir fuerzas y crear su empresa de ingeniería en el CONTACTO","Ambos tuvieron experiencia en el sector durante años y decidieron aunar fuerzas. Así se inició la empresa de ingeniería, en el sector de la Seguridad."
Prozesuen ingeniaritzatik abiatuta garatu dituen berariazko makinak ditu zeregin eta proiektu zehatzetan erabiltzeko.,"Dispone tanto de equipamiento específico desarrollado a partir de la ingeniería de proceso para tareas y proyectos concretos así como maquinaria CNC, necesidades que plantea el mercado.",Dispone de máquinas específicas que las ha desarrollado a partir de la ingeniería de procesos para su utilización en tareas y proyectos concretos.
Ingeniaritza Elektriko eta Elektronikoa Ingeniaritza Saila,Departamento de Ingeniería Eléctrica y Electrónica Campus Program,Departamento de Ingeniería Eléctrica y Electrónica
"Proiektu horietan parte hartzeko, arlo hauetako profesionalak behar dituzte: merkataritza, bide-ingeniaritza, arkitektura, ingeniaritza industriala, ingeniaritza teknikoa eta marketina eta kanpo-merkataritza.","Para participar en ellos, buscan perfiles profesionales del área comercial, de la ingeniería de caminos, la arquitectura, la ingeniería industrial, la ingeniería técnica, el marketing y comercio exterior.","Para participar en estos proyectos son necesarios profesionales del comercio, la ingeniería vial, la arquitectura, la ingeniería industrial, la ingeniería técnica y el marketing exterior."
"Ura, Hiria eta proiektu bakoitzarentzat zehazturiko Makrojoera bat goiburupean, Mondragon Unibertsitateko Industria Diseinuko eta Produktu Garapeneko Ingeniaritzako hirugarren mailako ikasleen lanak erakutsiko dira erakusketan.","Bajo el lema Agua, Ciudad y una Macrotendencia definida para cada proyecto, esta exposición trata de trabajos de alumnos de tercer curso del grado en Ingeniería de Diseño Industrial y Desarrollo de Producto de Mondragon Unibertsitatea.","Bajo el lema ""Agua, Ciudad y una Macrojoera para cada proyecto"", se expondrán los trabajos del alumnado de tercer curso de Ingeniería en Diseño Industrial y Desarrollo de Producto de Mondragon Unibertsitatea."
"Ingeniaritzako lan erraldoi hau AP-1eko Eskoriatza-Izuzkitza zatiaren barne dago (guztira 192 milioi euroko inbertsioa 10,4 km-ko bidezatian) eta tunelak eraiki eta kudeatzeko tecnología aurreratuenak erabili ditu, ingurumena zorrozki zaintzeko ikuspegiaz.","Esta impresionante obra de ingeniería, integrada en el tramo Eskoriatza-Izuzkitza de la AP-1 (192 millones de euros de inversión para 10,4 km de autopista), incorpora la más avanzada tecnología de construcción y gestión de túneles, al servicio de un proyecto sostenible y vital para la vertebración de Euskadi.","Este enorme trabajo de ingeniería se enmarca dentro del tramo Eskoriatza-Izuzkitza de la AP-1 (una inversión total de 192 millones de euros en un tramo de 10,4 km) y ha utilizado las tecnologías más avanzadas para la construcción y gestión de los túneles, con una visión de vigilancia estricta del medio ambiente."
"Ikastaroa 250 ordukoa izan da, Ingeniaritza Mekanikoko eta Diseinuko goi-mailako heziketa zikloko titulua duten eta langabezian dauden pertsonek egin dute eta datorren abenduaren 18an amaituko da.",El próximo 18 de diciembre finalizamos el cusos de 250 horas que estamos impartiendo y en el que están participando personas desempleadas con titulación de Ingeneiría Mecánica y Ciclo Superior de Diseño.,El curso ha tenido una duración de 250 horas y ha sido realizado por personas desempleadas con el título de Ciclo Formativo de Grado Superior en Ingeniería Mecánica y Diseño y finalizará el próximo 18 de diciembre.
"Orobat, ez zaie erabiltzeko baimenik ematen aholkularitza-enpresei, arkitektura-, ingeniaritza-, ingurugiro- eta antzeko bulegoei.","Tampoco se autoriza su utilización por parte de consultorías, estudios de arquitectura, ingeniería, medio ambiente o gabinetes análogos.","Tampoco se autoriza el uso de las empresas consultoras, oficinas de arquitectura, ingeniería, medio ambiente, etc."
Ingeniaritza Elektronikoko Gradua,Grado en Ingeniería Electrónica,Grado en Ingeniería Electrónica
IKASTEN LAGUNTZEN DUEN TELEGRAM APLIKAZIOAREN BOT BATEK IRABAZI DU BILBOKO INGENIARITZA ESKOLAKO ‘MANAGEMENT SOLUTIONS’ SARIA,UN BOT DE TELEGRAM QUE AYUDA A ESTUDIAR GANA EL PREMIO ‘MANAGEMENT SOLUTIONS’ DE LA ESCUELA DE INGENIERÍA DE BILBAO,UN VOT DE LA APLICACIÓN TELEGARM QUE APLEGA A INGENIERÍA DE BILBAO
Zubien ingeniaritzako lehen liburua Hubert Gautierrek idatzi zuen 1716an.,El primer libro de ingeniería para la construcción de puentes fue escrito por Hubert Gautier en 1716.,El primer libro de ingeniería de puentes fue escrito por Hubert Gautier en 1716.
"Ingeteam enpresa liderra da, ingeniaritza elektrikoan eta ekipamendu elektriko, motor, sorgailu eta frekuentzia bihurgailuen garapenean espezializatua.","Ingeteam es una empresa líder especializada en ingeniería eléctrica y en el desarrollo de equipos eléctricos, motores, generadores y convertidores de frecuencia.","Ingeteam es una empresa líder especializada en ingeniería eléctrica y en el desarrollo de equipos eléctricos, motores, generadores y convertidores de frecuencia."
Nautika eta Itsas Garraioko Gradua (Bizkaia) (Bilboko Ingeniaritza Eskola),Grado en Náutica y Transporte Marítimo (Bizkaia) (Escuela de Ingeniería de Bilbao),Grado en Náutica y Transporte Marítimo (Bizkaia) (Escuela Universitaria de Ingeniería Técnica Industrial de Bilbao)
IF - Ekoizpen Ingeniaritza,IF - Ingeniería de Fabricación,IF - Ingeniería de Producción
Ate irekiak: Heziketa Zikloak + Txandakako IMH Ingeniaritza Eskola (gradu berria) 2012/5/26,Puertas abiertas: Ciclos formativos + Ingeniería en Alternancia (nuevo grado) 26/05/2012 IMH,Puertas abiertas: Ciclos Formativos + Escuela de Ingeniería IMH de Turno (nuevo grado) 26/5/2012
"Eraikuntza eta ingeniaritzako Arup enpresa etorkizunera begira jarri da, eta 2050ean hiri-eraikinak nolakoak izan daitezkeen azaldu du .",La empresa Arup construcción e ingeniería mira hacia el futuro y revela su visión de lo que podrían ser los edificios urbanos en 2050 .,La empresa Arup de construcción e ingeniería se ha puesto de cara al futuro y ha explicado cómo pueden ser los edificios urbanos en 2050.
"Gaztelania, Ingelesa 5 Offshore Sistema Berriztagarrien Ingeniaritza","Castellano, Inglés 5 Ingeniería de Sistemas Renovables Offshore","Lengua Española, Inglés 5 Ingeniería Sistemas de Offshore renovables"
Energiako Ingeniaritza Gradua,Grado en Ingeniería Mecánica,Grado en Ingeniería en Energía
"Ekimen hau eraginkortasun energetikoari, mugikortasun jasangarriari eta hondakinen kudeaketari loturik dauden enpresei (ingeniaritzak, komertzialak, instalatzaileak, fabrikanteak, eragile energetikoak, zerbitzu energetikoetarako enpresak, biomasa sortzaileak, biomasa banatzaileak), azken kontsumitzaileei (erakunde publikoetako teknikariak, industrialak, erakundeak, ikerlariak, arkitektoak, aparejadoreak, finka administratzaileak, etab..) eta azkenik, herritarrei orokorrean bideratuta dago, eredu energetiko alternatibo bat sustatzeko asmoz.","La iniciativa se dirige a todas las empresas vinculadas a los sectores de la eficiencia energética, la movilidad sostenible y la gestión de residuos, principalmente del ámbito vasco (ingenierías, comerciales, instaladores, fabricantes, promotores energéticos, empresas de servicios fincas, etc...) y, finalmente, también a la ciudadanía en general, con el fin de promover un modelo energético alternativo.","Esta iniciativa está dirigida a las empresas relacionadas con la eficiencia energética, la movilidad sostenible y la gestión de residuos (ingenierías, comerciales, instaladores, fabricantes, agentes energéticos, empresas de servicios energéticos, generadores de biomasa, distribuidores de biomasa), a los consumidores finales ( técnicos de entidades públicas, industriales, investigadores, arquitectos, aparejadores, administradores de fincas, etc.) y, finalmente, a la ciudadanía en general, con el fin de impulsar un modelo energético alternativo."
"Ingeniaritza militar - Wikipedia, entziklopedia askea.","Ingeniería militar - Wikipedia, la enciclopedia libre","Ingeniería militar - Wikipedia, enciclopedia libre."
"Gaztenpresak urte batzuk daramatza Nafarroako Unibertsitateko Ingeniaritza Eskolak (TECNUN) antolatzen duen lehiaketa laguntzen, eta Espainiako estatuko ikasle guztiei dei egiten die sormena eta berrikuntza oinarri dituen ekimenean parte hartzera.","Gaztenpresa apoya desde hace años este concurso basado en la creatividad y la innovación, organizado por TECNUM, la Escuela de Ingenieros de la Universidad de Navarra, y anima a participar a todos los estudiantes del estado español.",Gaztenpresa lleva varios años apoyando el concurso que organiza la Escuela de Ingeniería de la Universidad de Navarra (TECNUN) y convoca a todos los alumnos del Estado a participar en una iniciativa basada en la creatividad y la innovación.
Txandakako Ingeniaritzako lehenengo promozioko ikaslea da.,Alumno de la primera promoción de la ingeniería en alternancia.,Estudia en la primera promoción de la Ingeniería Turnográfica.
Informatika Ingeniaritzako Graduatua Nafarroako Unibertsitate Publikoan [46],Mecánico por la Universidad Pública de Navarra [11],Grado en Ingeniería Informática en la Universidad Pública de Navarra [46]
"Golden Gate Zubia, bere garaiko ingeniaritza lanik handiena izan zen.",El Golden Gate constituyó la mayor obra de ingeniería de su época.,El Puente Golden Gate fue el mayor trabajo de ingeniería de su tiempo.
"Ikasleak Elikagaien Prozesu eta Produktuen Berrikuntzako eta Nekazaritzako Elikagaien eta Landa Ingurunearen Ingeniaritzako gradukoak dira Nekazaritza Ingeniarien Goi Mailako Eskola Teknikoan (NIGMET), eta garagardoarekin egindako ogi bat aurkeztu zuten lehiaketara. Aipatu lehiaketa unibertsitateko ikasleei zuzentzen zaie, eta helburua elikagai produktu bat sortzea zen, bi baldintza hauekin: ekoizpenaren edozein fasetan berritzailea izatea eta ingurumen irizpide bat betetzea. Txapeldunorde izateagatik 1.500 euro irabazi dituzte.","Los alumnos, que cursan los grados en Innovación de Procesos y Productos Alimentarios e Ingeniería Agroalimentaria y del Medio Rural en la Escuela Técnica Superior de Ingenieros Agrónomos (ETSIA), presentaron un pan de cerveza a este certamen, dirigido a universitarios que debían crear un nuevo producto alimentario que cumpliera dos condiciones: fuera innovador en cualquiera de sus fases y respondiera a un criterio medioambiental.",Los alumnos son del Grado en Innovación en Procesos y Productos Alimentarias y en Ingeniería en Agroalimentarios y Medio Rural en la Escuela Técnica Superior de Ingenieros Agrarios (NIGMET) y presentaron un pan realizado con cerveza al concurso dirigido a estudiantes universitarios cuyo objetivo era crear un producto de alimentos con las siguientes condiciones: ser innovador en cualquiera de las fases de la producción y cumplir un criterio medioambiental.
"Formulario horretan zehazten dira Sinposioaren egoitzatik, Meatzeen eta Herri Lanen Ingeniaritza Teknikoko Unibertsitate Eskolatik, oinez 5 minutura dauden hotelak (Hesperia Zubialde, Abba Parque eta NH Villa de Bilbao). Begiratu irudian. Bestelako ostatuak","En dicho formulario se indican los tres hoteles (Hesperia Zubialde, Abba Parque y NH Villa de Bilbao) que están a menos de 5 minutos andando de la sede del Simposio, la Escuela Universitaria de Ingeniería Técnica de Minas y de Obras Públicas, tal como se indica en la figura.","En este formulario se detallan desde la sede del Simposio, desde la Escuela Universitaria de Ingeniería Técnica de Minas y Obras Públicas, los hoteles a 5 minutos a pie (Hesperia Zubialde, Abba Parque y NH Villa de Bilbao)."
"(Beste leiho bat zabalduko du)Industria Ingeniaritza Teknikoko U.E. (pdf,68.27 Kb)","(Abre una nueva ventana)E.U. de Ingeniería Técnica Industrial (pdf,68,27 Kb)","(Inaugurará una ventana más) E.U. de Ingeniería Técnica Industrial (pdf, 68.27 Kb)"
Ingeniaritzako ikasleek ibilgailu elektrikoa eraiki dute,Alumnos de Ingeniería diseñan un vehículo eléctrico,Los alumnos de Ingeniería construyen el vehículo eléctrico
"Esperientziadun profesional horren helburua da bezeroari ingeniaritza industrialean irtenbideak eta zerbitzu ezberdinak eskaintzea. Hau da aholkularitza hasierako erabakiak hartzen diren fasean, proiektua ezartzea, langileen prestakuntza eta laguntza azkar eta eraginkorra.","Profesionales de gran experiencia cuyo objetivo es ofrecer Soluciones y Servicios de Ingeniería Industrial al cliente, lo cual implica el asesoramiento previo en la fase de decisión, la implantación del proyecto, la formación del personal y una asistencia ágil y eficaz.","Este profesional experimentado tiene como objetivo ofrecer soluciones y servicios al cliente en ingeniería industrial, es decir, en la fase en que se toman las decisiones iniciales, la implantación del proyecto, la formación y asistencia rápida y efectiva de los trabajadores."
"Segurtasun informatikoaren esparruan, ingeniaritza soziala erabiltzaileak manipulatuz isilpeko informazioa eskuratzean datza.","En el campo de la seguridad informática, ingeniería social es la práctica de obtener información confidencial a través de la manipulación de usuarios legítimos.","En el ámbito de la seguridad informática, la ingeniería social consiste en conseguir información confidencial manipulando a los usuarios."
